id,folder,projectName,image_count,image_file,site_url,lens_url,suggested_query

0017,"0017 - Soft jacket","Soft jacket repair",0,,,,"Soft jacket repair toy repair figure plush"
0024,"0024 - Atomizer","Atomizer",0,,,,"Atomizer toy repair figure plush"
0026,"0026 - Lion 2m display","Lion 2m display",0,,,,"Lion 2m display toy repair figure plush"
0029,"0029 - Bumblebear adding sound module","Bumblebear adding sound module",0,,,,"Bumblebear adding sound module toy repair figure plush"
0033,"0033 - Phone and Mic toys","Phone and Mic toys",0,,,,"Phone and Mic toys toy repair figure plush"
0043,"0043 - Verna 1960s vintage teddy","Verna 1960s vintage teddy",0,,,,"Verna 1960s vintage teddy toy repair figure plush"
0047,"0047 - Teddy bear","Teddy bear",0,,,,"Teddy bear toy repair figure plush"
0049,"0049 - He Man action figure","He-Man action figure",0,,,,"He-Man action figure toy repair figure plush"
0056,"0056 - Snow woman animatronic","Snow woman animatronic",0,,,,"Snow woman animatronic toy repair figure plush"
0060,"0060 - LEGO train engine","LEGO train engine",0,,,,"LEGO train engine toy repair figure plush"
0061,"0061 - Elektra hoverboard","Elektra hoverboard",0,,,,"Elektra hoverboard toy repair figure plush"
0065,"0065 - French musical sound book","French musical sound book",0,,,,"French musical sound book toy repair figure plush"
0068,"0068 - Jointed teddy bears set of four","Jointed teddy bears set of four",0,,,,"Jointed teddy bears set of four toy repair figure plush"
0069,"0069 - Transformer BumbleBee","Transformer BumbleBee",0,,,,"Transformer BumbleBee toy repair figure plush"
0070,"0070 - Times Sq Tower","Times Sq Tower",0,,,,"Times Sq Tower toy repair figure plush"
0071,"0071 - kiddie katch a bus","kiddie katch a bus",0,,,,"kiddie katch a bus toy repair figure plush"
0072,"0072 - Lucky Fairy","Lucky Fairy",0,,,,"Lucky Fairy toy repair figure plush"
0073,"0073 - Companion Cat","Companion Cat",0,,,,"Companion Cat toy repair figure plush"
0075,"0075 - singing bear","singing bear",0,,,,"singing bear toy repair figure plush"
0077,"0077 - Vintage rabbit plushie","Vintage rabbit plushie",0,,,,"Vintage rabbit plushie toy repair figure plush"